author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/303529695/;Москва;sale;flat;12;24;2;39.3;11900000;; Бачуринская;11Ак2;Коммунарка;
Маленков недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303302692/;Москва;sale;flat;9;9;1;30.0;11900000;Богородское;Малая Черкизовская ;64;Преображенская площадь;
ID 22653;real_estate_agent;https://www.cian.ru/sale/flat/292603208/;Москва;sale;flat;5;14;2;64.4;11900000;; Кварцевая;5к3;Бунинская аллея;
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/301732465/;Москва;sale;flat;5;17;1;39.6;11999000;; Бориса Пастернака;31к2;Рассказовка;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/303790626/;Москва;sale;flat;3;9;2;44.3;12000000;Марьино;Донецкая ;13;Марьино;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/294302985/;Москва;sale;flat;5;12;2;54.0;12000000;Восточное Дегунино;Керамический проезд;69К1;Бескудниково;
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/303260448/;Москва;sale;flat;2;8;2;53.1;12100000;Южное Бутово;Южнобутовская ;86К1;Бунинская аллея;
Enova;real_estate_agent;https://www.cian.ru/sale/flat/304768094/;Москва;sale;flat;3;4;2;54.5;12000000;; Шекспира;1к3;Аэропорт Внуково;
Маленков недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300753621/;Москва;sale;flat;9;9;2;33.2;12000000;Северное Тушино; Фомичевой;7К2;Сходненская;
ID 117350109;homeowner;https://www.cian.ru/sale/flat/304738721/;Москва;sale;flat;1;9;2;42.8;12000000;Рязанский;Зарайская ;35;Плющево;
ВЫБОР;developer;https://www.cian.ru/sale/flat/300605797/;Москва;sale;flat;2;17;2;55.6;12076320;;;;;Академик
ID 49209857;homeowner;https://www.cian.ru/sale/flat/301045917/;Москва;sale;flat;4;5;2;41.5;12200000;Южное Тушино; Фабрициуса;56К1;Сходненская;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/302179350/;Москва;sale;flat;3;16;2;60.3;12250000;Можайский; Горбунова;19К1;Сетунь;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/301968220/;Москва;sale;flat;12;12;2;53.0;12300000;Люблино;Совхозная ;3;Люблино;
ИНФИНИТИ;real_estate_agent;https://www.cian.ru/sale/flat/304442437/;Москва;sale;flat;8;12;1;31.9;12277000;Сокольники; Жебрунова;1;Сокольники;
City View;real_estate_agent;https://www.cian.ru/sale/flat/304750987/;Москва;sale;flat;16;18;1;39.0;12300000;Западное Дегунино; Ивана Сусанина;8К1;Моссельмаш;
МРИЭЛТОР - офис Отрадное;real_estate_agent;https://www.cian.ru/sale/flat/301730779/;Москва;sale;flat;8;14;1;39.0;12300000;Зябликово;Ореховый бульвар;61К1;Красногвардейская;
Наталья Леонова;realtor;https://www.cian.ru/sale/flat/303478769/;Москва;sale;flat;2;14;1;35.5;12300000;Коптево;проезд Черепановых;56К1;Лихоборы;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303417662/;Москва;sale;flat;9;17;1;33.5;12450000;; Малое Понизовье;2;Филатов Луг;Саларьево парк
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/304733636/;Москва;sale;flat;9;17;1;38.2;12499990;; Бориса Пастернака;29к2;Рассказовка;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304497174/;Москва;sale;flat;1;12;2;48.0;12600000;Орехово-Борисово Южное;Тамбовская ;8К1;Красногвардейская;
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/303629616/;Москва;sale;flat;1;21;1;36.0;12600000;Коньково; Бутлерова;7Б;Калужская;Букинист
FALCON GROUP;real_estate_agent;https://www.cian.ru/sale/flat/304494524/;Москва;sale;flat;7;9;2;43.0;12500000;Хорошево-Мневники; Народного Ополчения;29К1;Народное Ополчение;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/300018015/;Москва;sale;flat;8;24;1;41.0;12500000;Выхино-Жулебино;Рязанский проспект;97к2;Выхино;
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/303437696/;Москва;sale;flat;11;16;2;53.5;12500000;Бескудниковский; 800-летия Москвы;6;Яхромская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304743547/;Москва;sale;flat;4;8;2;40.6;12600000;Рязанский;Луховицкая ;2/57;Окская;
Наталья Ивановна Рагулина;realtor;https://www.cian.ru/sale/flat/304751382/;Москва;sale;flat;2;9;2;42.7;12500000;Преображенское;Большая Черкизовская ;30К5;Черкизовская;
METRAGE;real_estate_agent;https://www.cian.ru/sale/flat/299137067/;Москва;sale;flat;9;18;2;49.5;12500000;;;1.3;Коммунарка;Дзен-кварталы ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304753013/;Москва;sale;flat;7;9;2;49.1;12700000;Теплый Стан; Академика Варги;2;Тропарёво;
ВЫБОР;developer;https://www.cian.ru/sale/flat/300605926/;Москва;sale;flat;3;19;2;58.9;12734180;;;;;Академик
ОЛ ИНКЛЮЗИВ;real_estate_agent;https://www.cian.ru/sale/flat/303857026/;Москва;sale;flat;5;25;2;45.7;12800000;Покровское-Стрешнево;Волоколамское шоссе;81/2с3;Трикотажная;Апартаментный комплекс Level Стрешнево
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303387310/;Москва;sale;flat;33;33;1;33.9;12850000;Нагатино-Садовники;2-й Нагатинский проезд;2/2к1;Коломенская;Второй Нагатинский
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304382698/;Москва;sale;flat;8;34;2;33.3;12800000;Западное Дегунино; Летчика Осканова;6;Верхние Лихоборы;Тринити-2
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303486434/;Москва;sale;flat;2;5;2;43.6;12800000;Преображенское;Просторная ;10К2;Преображенская площадь;
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/303214906/;Москва;sale;flat;12;12;2;37.4;12800000;Кунцево; Академика Павлова;50;Молодёжная;
Андрей Дмитриев;realtor;https://www.cian.ru/sale/flat/301055532/;Москва;sale;flat;7;9;2;43.8;12800000;Покровское-Стрешнево; Габричевского;6К2;Щукинская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304583566/;Москва;sale;flat;18;22;1;36.4;12950000;Орехово-Борисово Северное;Борисовский проезд;16;Шипиловская;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/297540975/;Москва;sale;flat;5;21;1;30.0;12900000;Хорошево-Мневники;3-я Хорошевская ;19с3;Зорге;Вереск
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/304731702/;Москва;sale;flat;29;33;1;34.0;12950000;Чертаново Южное;Дорожная ;46к5;Красный Строитель;Ютаново
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/304375832/;Москва;sale;flat;25;25;1;45.0;12990000;Чертаново Южное;Чертановская ;65;Улица Академика Янгеля;
Спартак;developer;https://www.cian.ru/sale/flat/297413638/;Москва;sale;flat;11;14;1;47.5;12907256;Ясенево;Новоясеневский проспект;3В;Тёплый Стан;Комплекс апартаментов LES
ID 981808;homeowner;https://www.cian.ru/sale/flat/302400073/;Москва;sale;flat;4;9;2;44.3;12900000;Теплый Стан;Профсоюзная ;136К3;Коньково;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304180923/;Москва;sale;flat;4;16;1;31.7;13000000;; Лобановский Лес;13;Прокшино;Прокшино
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/301825365/;Москва;sale;flat;13;14;1;38.6;13100000;Южнопортовый;Шарикоподшипниковская ;28;Дубровка;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/297933191/;Москва;sale;flat;4;5;2;56.0;13000000;Марфино; Академика Комарова;11А;Улица Милашенкова;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/299846090/;Москва;sale;flat;6;14;2;48.7;13000000;Очаково-Матвеевское;Озерная ;19К1;Очаково;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302240360/;Москва;sale;flat;6;34;1;29.0;13135000;Войковский; Адмирала Макарова;6Бк2;Водный стадион;Невский
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/303314767/;Москва;sale;flat;3;9;2;44.3;13000000;Тимирязевский;Дмитровское шоссе;35К1;Петровско-Разумовская;
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/303293087/;Москва;sale;flat;7;16;1;27.0;13000000;Коптево;Старокоптевский переулок;4;Коптево;UNO Старокоптевский
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/299203876/;Москва;sale;flat;2;10;1;35.0;13100000;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300062514/;Москва;sale;flat;6;24;2;53.0;13000000;Черемушки;Нахимовский проспект;31к3;Профсоюзная;Апарт-комплекс Нахимов
СТРОЙИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/300542057/;Москва;sale;flat;2;19;2;51.1;13000000;Некрасовка;Покровская ;14;Некрасовка;Некрасовка
ID 100738980;realtor;https://www.cian.ru/sale/flat/304019718/;Москва;sale;flat;1;12;2;46.2;13000000;Отрадное; Декабристов;21;Отрадное;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303076677/;Москва;sale;flat;13;14;2;46.7;13200000;Чертаново Северное;Сумской проезд;21К1;Южная;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303351420/;Москва;sale;flat;22;35;1;36.2;13250000;Очаково-Матвеевское;к1.1;к1.1;Очаково;Новое Очаково ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298277208/;Москва;sale;flat;25;25;2;45.0;13200000;Крюково;проспект Георгиевский;27к2;Зеленоград — Крюково;Зелёный парк
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303485576/;Москва;sale;flat;7;14;1;38.0;13200000;Нагатинский затон;Судостроительная ;57;Нагатинский Затон;
Дарья Дмитриева;realtor;https://www.cian.ru/sale/flat/292303736/;Москва;sale;flat;6;12;2;53.5;13290000;Выхино-Жулебино;Привольная ;9К3;Лермонтовский проспект;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/301230600/;Москва;sale;flat;8;17;2;51.9;13200000;;проспект Прокшинский;12;Прокшино;Прокшино
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/301022640/;Москва;sale;flat;10;20;2;63.5;13390000;Бирюлево Восточное;6-я Радиальная ;7/1к2;Царицыно;Царицыно-2
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/303218995/;Москва;sale;flat;9;17;2;50.2;13300000;Митино;переулок Ангелов;6;Пятницкое шоссе;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/304398401/;Москва;sale;flat;12;16;2;59.9;13300000;; Липовый Парк;5к1;Коммунарка;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/302086805/;Москва;sale;flat;10;30;1;33.5;13325000;Покровское-Стрешнево;Строительный проезд;9С6;Трикотажная;Sky Garden
ИП Самарская М.И.;real_estate_agent;https://www.cian.ru/sale/flat/297171976/;Москва;sale;flat;9;9;2;44.8;13300000;Кузьминки; Федора Полетаева;36;Рязанский проспект;
Дмитрий Симаков;realtor;https://www.cian.ru/sale/flat/304675125/;Москва;sale;flat;9;12;1;43.3;13300000;Косино-Ухтомский;Салтыковская ;6/2к4;Улица Дмитриевского;мой адрес На Салтыковской
Аквилон;developer;https://www.cian.ru/sale/flat/304054614/;Москва;sale;flat;5;23;2;57.8;13358909;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304369915/;Москва;sale;flat;3;5;1;53.0;13500000;Можайский;Гвардейская ;17К2;Рабочий посёлок;
На Петровке Продажа-Аренда;real_estate_agent;https://www.cian.ru/sale/flat/304786775/;Москва;sale;flat;7;14;2;47.0;13500000;Северное Медведково;Полярная ;50;Медведково;
БЕЛЫЙ КВАДРАТ - Московский Центр Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/303278385/;Москва;sale;flat;3;14;1;43.7;13400000;Царицыно; Бехтерева;3А;Кантемировская;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/302027713/;Москва;sale;flat;11;14;1;35.3;13500000;Щукино; Маршала Бирюзова;40;Щукинская;
Наталия Шпрингер;realtor;https://www.cian.ru/sale/flat/303401209/;Москва;sale;flat;2;9;2;45.1;13400000;Коньково; Генерала Антонова;5К1;Беляево;
PRO ОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/304294774/;Москва;sale;flat;2;14;2;35.6;13500000;Можайский;Верейская ;41С96;Давыдково;Верейская 41
METRAGE;real_estate_agent;https://www.cian.ru/sale/flat/304072543/;Москва;sale;flat;10;25;1;40.0;13500000;Метрогородок;Тагильская ;2к1;Бульвар Рокоссовского;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/304500346/;Москва;sale;flat;7;9;2;42.4;13500000;Ясенево;Литовский бульвар;3К2;Ясенево;
One Life;real_estate_agent;https://www.cian.ru/sale/flat/300742374/;Москва;sale;flat;2;18;2;59.0;13500000;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
ID 13852799;unknown;https://www.cian.ru/sale/flat/304501231/;Москва;sale;flat;4;14;1;39.0;13490000;;бульвар Скандинавский;9;Бульвар Адмирала Ушакова;
МарусяПро;real_estate_agent;https://www.cian.ru/sale/flat/296562450/;Москва;sale;flat;15;33;1;23.1;13600000;Хорошево-Мневники;Причальный проезд;10Б;Шелепиха;Level Причальный
One Life;real_estate_agent;https://www.cian.ru/sale/flat/300966811/;Москва;sale;flat;2;18;2;57.5;13600000;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
Аквилон;developer;https://www.cian.ru/sale/flat/304053473/;Москва;sale;flat;4;23;2;49.2;13580233;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Respect Estate;real_estate_agent;https://www.cian.ru/sale/flat/303178496/;Москва;sale;flat;17;31;2;41.0;13700000;Западное Дегунино;Северный ао;;Верхние Лихоборы;Левел Селигерская ЖК
Оксана Гимишян;realtor;https://www.cian.ru/sale/flat/301316819/;Москва;sale;flat;15;22;1;37.3;13700000;Нагорный;Ялтинская ;1;Варшавская;
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/273859563/;Москва;sale;flat;2;10;2;37.0;13700000;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
Владис;real_estate_agent;https://www.cian.ru/sale/flat/301120811/;Москва;sale;flat;4;9;1;32.2;13800000;Коньково;Профсоюзная ;85К1;Беляево;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304089067/;Москва;sale;flat;12;16;2;53.0;13800000;Чертаново Центральное;Чертановская ;32К1;Пражская;
Суламит-НГС;real_estate_agent;https://www.cian.ru/sale/flat/304638976/;Москва;sale;flat;2;12;2;40.9;13900000;Останкинский; Цандера;7;Улица Академика Королёва;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/295815762/;Москва;sale;flat;28;44;1;37.9;13800000;Покровское-Стрешнево;Строительный проезд;9С6;Трикотажная;Sky Garden
ID 47455302;unknown;https://www.cian.ru/sale/flat/283418379/;Москва;sale;flat;1;9;2;42.0;13900000;Можайский; Багрицкого;51;Кунцевская;
ID 59418130;homeowner;https://www.cian.ru/sale/flat/301491564/;Москва;sale;flat;14;14;2;49.2;13900000;Царицыно;Севанская ;9К2;Царицыно;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/290294224/;Москва;sale;flat;5;28;2;52.0;13936000;Отрадное;Отрадная ;4А;Отрадное;Малевич
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304089771/;Москва;sale;flat;11;18;1;40.0;13990000;Текстильщики; Чистова;16к3;Волжская;LIFE-Волжская
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304387877/;Москва;sale;flat;4;5;2;43.7;14000000;Перово;Зеленый проспект;35К1;Перово;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/299894007/;Москва;sale;flat;5;5;2;44.0;14000000;Беговой; Нижняя;11;Белорусская;
Тамара Николаевна Кодзоева;realtor;https://www.cian.ru/sale/flat/290970383/;Москва;sale;flat;11;21;2;69.8;14000000;;;6;Остафьево;Новомосковский
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/304045306/;Москва;sale;flat;6;25;2;58.7;14050000;Митино;Муравская ;44к2;Пятницкое шоссе;Митинский лес
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303487760/;Москва;sale;flat;1;17;1;38.0;13950000;Черемушки; Наметкина;9К1;Новые Черёмушки;
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/301407636/;Москва;sale;flat;21;22;1;38.5;13999000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/301507613/;Москва;sale;flat;33;33;2;52.9;14050000;Западное Дегунино;Ижорская ;6к6;Ховрино;Бусиновский парк
MR Group;developer;https://www.cian.ru/sale/flat/303135248/;Москва;sale;flat;3;48;1;32.0;14014178;Покровское-Стрешнево;Вишневая ;7С128;Тушинская;Мультиквартал CITYZEN
ID 98797681;homeowner;https://www.cian.ru/sale/flat/304416790/;Москва;sale;flat;5;5;2;46.0;13950000;Тимирязевский; Костякова;11;Дмитровская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304628507/;Москва;sale;flat;11;27;1;36.9;14100000;Лефортово;Юго-Восточный ао;;Лефортово;Красноказарменная 15 ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304838130/;Москва;sale;flat;2;16;1;52.3;14200000;Войковский;6-й Новоподмосковный переулок;3;Войковская;
Ключъ;real_estate_agent;https://www.cian.ru/sale/flat/303833969/;Москва;sale;flat;14;17;2;50.7;14100000;Северное Бутово;Коктебельская ;4К4;Бульвар Дмитрия Донского;
ID 117361270;homeowner;https://www.cian.ru/sale/flat/303128981/;Москва;sale;flat;1;12;2;77.8;14200000;;;7;Силикатная;
Анастасия Абрамова;realtor;https://www.cian.ru/sale/flat/302843972/;Москва;sale;flat;23;33;1;32.3;14200000;Нижегородский;Новохохловская ;15к2;Новохохловская;Новохохловская 15
Триумфальная Арка;real_estate_agent;https://www.cian.ru/sale/flat/303591672/;Москва;sale;flat;12;16;2;52.1;14300000;Бибирево; Плещеева;13;Бибирево;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/304197699/;Москва;sale;flat;5;10;2;41.4;14350000;;бульвар Андрея Тарковского;8;Рассказовка;Рассказово
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/304114777/;Москва;sale;flat;16;17;2;58.8;14300000;Некрасовка; Ухтомского Ополчения;3;Некрасовка;Некрасовка-Парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304430093/;Москва;sale;flat;2;5;2;40.2;14500000;Марфино;Ботаническая ;19;Улица Милашенкова;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304553953/;Москва;sale;flat;2;10;2;52.2;14400000;Печатники;Шоссейная ;14к3;Печатники;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304597482/;Москва;sale;flat;9;29;1;32.5;14400000;Печатники;;;Печатники;Портлэнд ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304466346/;Москва;sale;flat;5;9;2;42.8;14500000;Покровское-Стрешнево; Габричевского;4;Щукинская;
